#version: TeamCity
#If you change this file, it will not be automatically updated after the next release.
#item,id,metadata
stone,STONE,0
sstone,STONE,0
smoothstone,STONE,0
rock,STONE,0
grass,GRASS,0
greendirt,GRASS,0
greenearth,GRASS,0
greenland,GRASS,0
dirt,DIRT,0
earth,DIRT,0
land,DIRT,0
grasslessdirt,DIRT,1
grasslessearth,DIRT,1
grasslessland,DIRT,1
podzol,DIRT,2
cobblestone,COBBLESTONE,0
cstone,COBBLESTONE,0
cobble,COBBLESTONE,0
wood,WOOD,0
plank,WOOD,0
woodenplank,WOOD,0
woodplank,WOOD,0
wplank,WOOD,0
plankwooden,WOOD,0
plankwood,WOOD,0
plankw,WOOD,0
oakplank,WOOD,0
oakwoodenplank,WOOD,0
oakwoodplank,WOOD,0
oakwplank,WOOD,0
oakplankwooden,WOOD,0
oakplankwood,WOOD,0
oakplankw,WOOD,0
oplank,WOOD,0
owoodenplank,WOOD,0
owoodplank,WOOD,0
owplank,WOOD,0
oplankwooden,WOOD,0
oplankwood,WOOD,0
oplankw,WOOD,0
pineplank,WOOD,1
pinewoodenplank,WOOD,1
pinewoodplank,WOOD,1
pinewplank,WOOD,1
pineplankwooden,WOOD,1
pineplankwood,WOOD,1
pineplankw,WOOD,1
pplank,WOOD,1
pwoodenplank,WOOD,1
pwoodplank,WOOD,1
pwplank,WOOD,1
pplankwooden,WOOD,1
pplankwood,WOOD,1
pplankw,WOOD,1
darkplank,WOOD,1
darkwoodenplank,WOOD,1
darkwoodplank,WOOD,1
darkwplank,WOOD,1
darkplankwooden,WOOD,1
darkplankwood,WOOD,1
darkplankw,WOOD,1
dplank,WOOD,1
dwoodenplank,WOOD,1
dwoodplank,WOOD,1
dwplank,WOOD,1
dplankwooden,WOOD,1
dplankwood,WOOD,1
dplankw,WOOD,1
spruceplank,WOOD,1
sprucewoodenplank,WOOD,1
sprucewoodplank,WOOD,1
sprucewplank,WOOD,1
spruceplankwooden,WOOD,1
spruceplankwood,WOOD,1
spruceplankw,WOOD,1
splank,WOOD,1
swoodenplank,WOOD,1
swoodplank,WOOD,1
swplank,WOOD,1
splankwooden,WOOD,1
splankwood,WOOD,1
splankw,WOOD,1
birchplank,WOOD,2
birchwoodenplank,WOOD,2
birchwoodplank,WOOD,2
birchwplank,WOOD,2
birchplankwooden,WOOD,2
birchplankwood,WOOD,2
birchplankw,WOOD,2
bplank,WOOD,2
bwoodenplank,WOOD,2
bwoodplank,WOOD,2
bwplank,WOOD,2
bplankwooden,WOOD,2
bplankwood,WOOD,2
bplankw,WOOD,2
lightplank,WOOD,2
lightwoodenplank,WOOD,2
lightwoodplank,WOOD,2
lightwplank,WOOD,2
lightplankwooden,WOOD,2
lightplankwood,WOOD,2
lightplankw,WOOD,2
lplank,WOOD,2
lwoodenplank,WOOD,2
lwoodplank,WOOD,2
lwplank,WOOD,2
lplankwooden,WOOD,2
lplankwood,WOOD,2
lplankw,WOOD,2
whiteplank,WOOD,2
whitewoodenplank,WOOD,2
whitewoodplank,WOOD,2
whitewplank,WOOD,2
whiteplankwooden,WOOD,2
whiteplankwood,WOOD,2
whiteplankw,WOOD,2
wwoodenplank,WOOD,2
wwoodplank,WOOD,2
wwplank,WOOD,2
wplankwooden,WOOD,2
wplankwood,WOOD,2
wplankw,WOOD,2
jungleplank,WOOD,3
junglewoodenplank,WOOD,3
junglewoodplank,WOOD,3
junglewplank,WOOD,3
jungleplankwooden,WOOD,3
jungleplankwood,WOOD,3
jungleplankw,WOOD,3
jplank,WOOD,3
jwoodenplank,WOOD,3
jwoodplank,WOOD,3
jwplank,WOOD,3
jplankwooden,WOOD,3
jplankwood,WOOD,3
jplankw,WOOD,3
forestplank,WOOD,3
forestwoodenplank,WOOD,3
forestwoodplank,WOOD,3
forestwplank,WOOD,3
forestplankwooden,WOOD,3
forestplankwood,WOOD,3
forestplankw,WOOD,3
fplank,WOOD,3
fwoodenplank,WOOD,3
fwoodplank,WOOD,3
fwplank,WOOD,3
fplankwooden,WOOD,3
fplankwood,WOOD,3
fplankw,WOOD,3
acaciaplank,WOOD,4
acaciawoodenplank,WOOD,4
acaciawoodplank,WOOD,4
acaciawplank,WOOD,4
acaciaplankwooden,WOOD,4
acaciaplankwood,WOOD,4
acaciaplankw,WOOD,4
aplank,WOOD,4
awoodenplank,WOOD,4
awoodplank,WOOD,4
awplank,WOOD,4
aplankwooden,WOOD,4
aplankwood,WOOD,4
aplankw,WOOD,4
darkoakplank,WOOD,5
darkoakwoodenplank,WOOD,5
darkoakwoodplank,WOOD,5
darkoakwplank,WOOD,5
darkoakplankwooden,WOOD,5
darkoakplankwood,WOOD,5
darkoakplankw,WOOD,5
doakplank,WOOD,5
doakwoodenplank,WOOD,5
doakwoodplank,WOOD,5
doakwplank,WOOD,5
doakplankwooden,WOOD,5
doakplankwood,WOOD,5
doakplankw,WOOD,5
doplank,WOOD,5
dowoodenplank,WOOD,5
dowoodplank,WOOD,5
dowplank,WOOD,5
doplankwooden,WOOD,5
doplankwood,WOOD,5
doplankw,WOOD,5
sapling,SAPLING,0
treesapling,SAPLING,0
logsapling,SAPLING,0
trunksapling,SAPLING,0
woodsapling,SAPLING,0
oaktreesapling,SAPLING,0
oaklogsapling,SAPLING,0
oaktrunksapling,SAPLING,0
oakwoodsapling,SAPLING,0
osapling,SAPLING,0
otreesapling,SAPLING,0
ologsapling,SAPLING,0
otrunksapling,SAPLING,0
owoodsapling,SAPLING,0
darksapling,SAPLING,1
darktreesapling,SAPLING,1
darklogsapling,SAPLING,1
darktrunksapling,SAPLING,1
darkwoodsapling,SAPLING,1
sprucesapling,SAPLING,1
sprucetreesapling,SAPLING,1
sprucelogsapling,SAPLING,1
sprucetrunksapling,SAPLING,1
sprucewoodsapling,SAPLING,1
pinesapling,SAPLING,1
pinetreesapling,SAPLING,1
pinelogsapling,SAPLING,1
pinetrunksapling,SAPLING,1
pinewoodsapling,SAPLING,1
dsapling,SAPLING,1
dtreesapling,SAPLING,1
dlogsapling,SAPLING,1
dtrunksapling,SAPLING,1
dwoodsapling,SAPLING,1
ssapling,SAPLING,1
streesapling,SAPLING,1
slogsapling,SAPLING,1
strunksapling,SAPLING,1
swoodsapling,SAPLING,1
psapling,SAPLING,1
ptreesapling,SAPLING,1
plogsapling,SAPLING,1
ptrunksapling,SAPLING,1
pwoodsapling,SAPLING,1
birchsapling,SAPLING,2
birchtreesapling,SAPLING,2
birchlogsapling,SAPLING,2
birchtrunksapling,SAPLING,2
birchwoodsapling,SAPLING,2
lightsapling,SAPLING,2
lighttreesapling,SAPLING,2
lightlogsapling,SAPLING,2
lighttrunksapling,SAPLING,2
lightwoodsapling,SAPLING,2
whitesapling,SAPLING,2
whitetreesapling,SAPLING,2
whitelogsapling,SAPLING,2
whitetrunksapling,SAPLING,2
whitewoodsapling,SAPLING,2
bsapling,SAPLING,2
btreesapling,SAPLING,2
blogsapling,SAPLING,2
btrunksapling,SAPLING,2
bwoodsapling,SAPLING,2
lsapling,SAPLING,2
ltreesapling,SAPLING,2
llogsapling,SAPLING,2
ltrunksapling,SAPLING,2
lwoodsapling,SAPLING,2
wsapling,SAPLING,2
wtreesapling,SAPLING,2
wlogsapling,SAPLING,2
wtrunksapling,SAPLING,2
wwoodsapling,SAPLING,2
junglesapling,SAPLING,3
jungletreesapling,SAPLING,3
junglelogsapling,SAPLING,3
jungletrunksapling,SAPLING,3
junglewoodsapling,SAPLING,3
forestsapling,SAPLING,3
foresttreesapling,SAPLING,3
forestlogsapling,SAPLING,3
foresttrunksapling,SAPLING,3
forestwoodsapling,SAPLING,3
jsapling,SAPLING,3
jtreesapling,SAPLING,3
jlogsapling,SAPLING,3
jtrunksapling,SAPLING,3
jwoodsapling,SAPLING,3
fsapling,SAPLING,3
ftreesapling,SAPLING,3
flogsapling,SAPLING,3
ftrunksapling,SAPLING,3
fwoodsapling,SAPLING,3
acaciasapling,SAPLING,4
acaciatreesapling,SAPLING,4
acacialogsapling,SAPLING,4
acaciatrunksapling,SAPLING,4
acaciawoodsapling,SAPLING,4
atreesapling,SAPLING,4
alogsapling,SAPLING,4
atrunksapling,SAPLING,4
awoodsapling,SAPLING,4
darkoaksapling,SAPLING,5
darkoaktreesapling,SAPLING,5
darkoaklogsapling,SAPLING,5
darkoaktrunksapling,SAPLING,5
darkoakwoodsapling,SAPLING,5
doaktreesapling,SAPLING,5
doaklogsapling,SAPLING,5
doaktrunksapling,SAPLING,5
dowoodsapling,SAPLING,5
dotreesapling,SAPLING,5
dologsapling,SAPLING,5
dotrunksapling,SAPLING,5
dowoodsapling,SAPLING,5
bedrock,BEDROCK,0
oprock,BEDROCK,0
opblock,BEDROCK,0
adminblock,BEDROCK,0
adminrock,BEDROCK,0
adminium,BEDROCK,0
water,WATER,0
stationarywater,STATIONARY_WATER,0
swater,STATIONARY_WATER,0
lava,LAVA,0
stationarylava,STATIONARY_LAVA,0
slava,STATIONARY_LAVA,0
sand,SAND,0
redsand,SAND,1
rsand,SAND,1
gravel,GRAVEL,0
goldore,GOLD_ORE,0
oregold,GOLD_ORE,0
gore,GOLD_ORE,0
oreg,GOLD_ORE,0
ogold,GOLD_ORE,0
goldo,GOLD_ORE,0
ironore,IRON_ORE,0
oreiron,IRON_ORE,0
irono,IRON_ORE,0
oiron,IRON_ORE,0
steelore,IRON_ORE,0
oresteel,IRON_ORE,0
steelo,IRON_ORE,0
osteel,IRON_ORE,0
iore,IRON_ORE,0
orei,IRON_ORE,0
sore,IRON_ORE,0
ores,IRON_ORE,0
coalore,COAL_ORE,0
orecoal,COAL_ORE,0
coalo,COAL_ORE,0
ocoal,COAL_ORE,0
core,COAL_ORE,0
tree,LOG,0
log,LOG,0
trunk,LOG,0
oak,LOG,0
oaktree,LOG,0
oaklog,LOG,0
oaktrunk,LOG,0
oakwood,LOG,0
otree,LOG,0
olog,LOG,0
otrunk,LOG,0
owood,LOG,0
pine,LOG,1
pinetree,LOG,1
pinelog,LOG,1
pinetrunk,LOG,1
pinewood,LOG,1
darktree,LOG,1
darklog,LOG,1
darktrunk,LOG,1
darkwood,LOG,1
spruce,LOG,1
sprucetree,LOG,1
sprucelog,LOG,1
sprucetrunk,LOG,1
sprucewood,LOG,1
dtree,LOG,1
dlog,LOG,1
dtrunk,LOG,1
dwood,LOG,1
stree,LOG,1
slog,LOG,1
strunk,LOG,1
swood,LOG,1
ptree,LOG,1
plog,LOG,1
ptrunk,LOG,1
pwood,LOG,1
birch,LOG,2
birchtree,LOG,2
birchlog,LOG,2
birchtrunk,LOG,2
birchwood,LOG,2
whitetree,LOG,2
whitelog,LOG,2
whitetrunk,LOG,2
whitewood,LOG,2
lighttree,LOG,2
lightlog,LOG,2
lighttrunk,LOG,2
lightwood,LOG,2
btree,LOG,2
blog,LOG,2
btrunk,LOG,2
bwood,LOG,2
wtree,LOG,2
wlog,LOG,2
wtrunk,LOG,2
wwood,LOG,2
ltree,LOG,2
llog,LOG,2
ltrunk,LOG,2
lwood,LOG,2
jungletree,LOG,3
junglelog,LOG,3
jungletrunk,LOG,3
junglewood,LOG,3
jungle,LOG,3
forest,LOG,3
foresttree,LOG,3
forestlog,LOG,3
foresttrunk,LOG,3
forestwood,LOG,3
jtree,LOG,3
jlog,LOG,3
jtrunk,LOG,3
jwood,LOG,3
ftree,LOG,3
flog,LOG,3
ftrunk,LOG,3
fwood,LOG,3
leaves,LEAVES,0
leaf,LEAVES,0
treeleaves,LEAVES,0
logleaves,LEAVES,0
